Antecedent,Knowledge_Gap,Support,Confidence,Lift,Support_%,Confidence_%,Frequency,Antecedent_Size
"Business Capability=Risk, compliance and identity control",Public Documentation | Governance Framework | Risk Register | SME,0.12111111111111111,0.2906666666666667,1.376842105263158,12.11111111111111,29.06666666666667,109,1
Question Complexity=High + Question Type=Best Practice,Public Documentation | Architecture Blueprint | Methodology | SME,0.07333333333333333,0.6111111111111112,1.3381995133819953,7.333333333333333,61.111111111111114,66,2
Question Complexity=Medium,Public Documentation | Architecture Blueprint | Methodology | SME,0.10666666666666667,0.588957055214724,1.2896869822220234,10.666666666666668,58.895705521472394,96,1
Question Complexity=High + Question Intent=Request presales guidance,Public Documentation | Governance Framework | Risk Register | SME,0.08,0.26666666666666666,1.263157894736842,8.0,26.666666666666668,72,2
Presales Category=Solution Architecture + Question Type=Architecture,Public Documentation,0.06333333333333334,0.2035714285714286,1.2548923679060668,6.333333333333334,20.35714285714286,57,2
Question Complexity=High,Public Documentation | Governance Framework | Risk Register | SME,0.20222222222222222,0.263768115942029,1.2494279176201373,20.22222222222222,26.3768115942029,182,1
Question Type=Architecture,Public Documentation,0.06888888888888889,0.19558359621451105,1.2056523054319175,6.888888888888889,19.558359621451103,62,1
Question Intent=Determine implementation approach,Public Documentation | Architecture Blueprint | Methodology | SME,0.13,0.5318181818181819,1.1645653616456537,13.0,53.18181818181819,117,1
Question Intent=Request presales guidance,Public Documentation | Architecture Blueprint | Methodology | SME,0.21333333333333335,0.5274725274725275,1.155049330231812,21.333333333333336,52.74725274725275,192,1
Presales Category=Solution Architecture,Public Documentation,0.08555555555555555,0.18644067796610167,1.1492918504759693,8.555555555555555,18.644067796610166,77,1
"Business Capability=Risk, compliance and identity control + Question Complexity=High + Question Intent=Determine implementation approach",Public Documentation | Architecture Blueprint | Methodology | SME,0.056666666666666664,0.5204081632653061,1.1395799195590646,5.666666666666666,52.04081632653062,51,3
"Business Capability=Risk, compliance and identity control + Question Intent=Determine implementation approach",Public Documentation | Architecture Blueprint | Methodology | SME,0.056666666666666664,0.5204081632653061,1.1395799195590646,5.666666666666666,52.04081632653062,51,2
Question Complexity=High + Question Intent=Request presales guidance,Public Documentation | Architecture Blueprint | Methodology | SME,0.1511111111111111,0.5037037037037038,1.1030008110300082,15.11111111111111,50.370370370370374,136,2
Question Complexity=High + Question Intent=Determine implementation approach,Public Documentation | Architecture Blueprint | Methodology | SME,0.09555555555555556,0.4971098265895954,1.0885616640648075,9.555555555555555,49.71098265895954,86,2
